title,dealer,type,location,min_level,requirements,previous,leads_to,objectives,rewards,exp
Chumming,Skier,Completion,"Customs,Woods,Interchange",27,Must be level 27 to start this quest.,Informed means armed,"Silent caliber,Flint,Bullshit","Stash 3 gold chains under the mattress next to BTR-80A,Stash 3 gold chains in the microwave on the 3rd floor of dorms,Stash 3 gold chains in the middle accommodation unit of the sawmill,Kill 5 PMC operators on Interchange in time period from 23:00 till 10:00","22,000 EXP,Skier Rep +0.12,65,000 Roubles,Roler submariner gold wrist watch",22000
Informed means armed,Skier,Completion,"Interchange,Woods,Customs",24,Must be level 24 to start this quest.,Friend from the West - Part 2,Chumming,"Install a WIFI camera to watch the pier,Install the WIFI camera to watch the road to port,Install the WIFI camera to watch Kiba Arms store","15,900 EXP,Skier Rep +0.1,45,000 Roubles,2x Fab Defense UAS for AK",15900
"""Vitamins"" - Part 2",Skier,PickUp,,0,,"""Vitamins"" - Part 1",,"Find in raid 5 Respirator,Hand over Respirator, 5 pcs,Get Medical bloodset, 5 pcs,Hand over Medical bloodset, 5 pcs","17,200 EXP,Skier Rep +0.12,40,000 Roubles,5x Morphine injector",17200
"""Vitamins"" - Part 1",Skier,PickUp,"Shoreline,Interchange",22,Must be level 22 to start this quest.,Chemical - Part 3,"""Vitamins"" - Part 2","Get first Chemical container,Hand over first Chemical container,Get second Chemical container,Hand over second Chemical container,Get third Chemical container,Hand over third Chemical container","+14,100 EXP,Skier Rep +0.1,Jaeger Rep -0.01,37,000 Roubles,3x Holosun HS401G5 reflex sight",14100
Minibus,Ragman,Completion,Interchange,24,Must be level 24 to start this quest.,Database - Part 2,,"Mark first minibus,Mark second minibus,Mark third minibus,Survive and leave the area","+16,500 EXP,Ragman Rep +0.07,50,000 Roubles,Ana tactical Beta 2 battle backpack",16500
Hot delivery,Ragman,Completion,Interchange,29,Must be level 29 to start this quest.,Gratitude,Scavenger,"Stash Peltor ComTac 2 in specified place, 2 pcs,Stash 6B47 Ratnik-BSh Helmet in specified place, 2 pcs,Stash BNTI Gzhel-K armor in specified place, 2 pcs","+25,000 EXP,Ragman Rep +0.09,55,000 Roubles,IOTV Gen4 armor (full protection),Unlocks barter for IOTV Gen4 armor (full protection) at LL4",25000
Living high is not a crime - Part 1,Ragman,PickUp,,27,Must be level 27 to start this quest.,Sew it good - Part 3,,"Get Bronze lion, 3 pcs,Hand over Bronze lion, 3 pcs,Get Horse figurine, 3 pcs,Hand over Horse figurine, 3 pcs,Get Cat figurine, 2 pcs,Hand over Cat figurine, 2 pcs,Get Roler submariner gold wrist watch,Hand over Roler submariner gold wrist watch","+23,000 EXP,Ragman Rep +0.09,75,000 Roubles,3x Golden neck chain,Altyn helmet",23000
The Blood of War - Part 2,Ragman,PickUp,,23,Must be level 23 to start this quest.,Sew it good - Part 1,The Blood of War - Part 3,"Find in raid Fuel conditioner, 4 pcs,Hand over Fuel conditioner, 4 pcs","+15,600 EXP,Ragman Rep +0.07,20,000 Roubles,Highcom Striker ACHHC IIIA black helmet",15600
Gunsmith - Part 16,Mechanic,Parameter-oriented modding,,35,Must be level 35 to start this quest.,Gunsmith - Part 15,,Modify M4A1 to comply with the required specification,"+28,500 EXP,Mechanic Rep +0.06,2,500 Euros,Colt M4A1 5.56x45 Assault Rifle",28500
Gunsmith - Part 15,Mechanic,Parameter-oriented modding,,29,Must be level 29 to start this quest.,Gunsmith - Part 14,Gunsmith - Part 16,Modify M1A to comply with the required specification,"+22,600 EXP,Mechanic Rep +0.05,700 Euros,Springfield Armory M1A 7.62x51",22600
Gunsmith - Part 14,Mechanic,Parameter-oriented modding,,27,Must be level 27 to start this quest.,Gunsmith - Part 13,Gunsmith - Part 15,Modify AKMN to comply with the required specification,"+20,800 EXP,Mechanic Rep +0.05,100,000 Roubles,EOtech Vudu 1-6 riflescope,Unlocks purchase of LAS/TAC 2 tactical flashlight at LL3",20800
Gunsmith - Part 13,Mechanic,Parameter-oriented modding,,25,Must be level 25 to start this quest.,Gunsmith - Part 12,Gunsmith - Part 14,Modify SIG MPX to comply with the required specification,"+19,000 EXP,Mechanic Rep +0.05,500 Dollars,Muzzle brake Vendetta precision VP-09 5.56x45,Unlocks purchase of Skeletonized AR-15 pistol grip at LL4",19000
Gunsmith - Part 12,Mechanic,Parameter-oriented modding,,23,Must be level 23 to start this quest.,Gunsmith - Part 11,Gunsmith - Part 13,Modify AK-102 to comply with the required specification,"+14,400 EXP,Mechanic Rep +0.04,70,000 Roubles,Remington Model 870 12ga shotgun,Unlocks purchase of Magpul AFG grip OD at LL3",14400
Supervisor,Ragman,PickUp,Interchange,40,Must be level 40 to start this quest.,"Sales Night,The key to success",,"Get key for Goshan cash registers,Hand over key from Goshan cash registers","+24,100 EXP,Ragman Rep +0.09,250,000 Roubles,Unlocks purchase of BNTI Gzhel-K armor at LL3",24100
Sales Night,Ragman,Completion,Interchange,30,Must be level 30 to start this quest.,Gratitude,Supervisor,Survive in the raid at Interchange 7 times,"+19,800 EXP,Ragman Rep +0.09,35,000 Roubles,2x SSO ""Attack 2"" raid backpack",19800
Gratitude,Ragman,Completion,Woods,0,,"Dressed to kill,Database - Part 2","Sales Night,Hot delivery","Find the secret spot,Leave the Ghost balaclava in place,Leave the Shemagh in place,Leave the RayBench sunglasses in place,Leave the Round frame sunglasses in place","+16,300 EXP,Ragman Rep +0.07,80,000 Roubles",16300
No fuss needed,Ragman,Skill,,0,,The key to success,,Increase the Therapist loyalty level to 3,"+12,900 EXP,Ragman Rep +0.07,32,000 Roubles,Altyn helmet",12900
Charisma brings success,Ragman,Skill,,0,,Sew it good - Part 4,,Increase the Charisma level to 10,"+12,700 EXP,Ragman Rep +0.07,30,000 Roubles,2x Altyn face shield",12700
The key to success,Ragman,PickUp,Interchange,26,Must be level 26 to start this quest.,Sew it good - Part 2,"The stylish one,No fuss needed,Supervisor","Get Clothes design handbook Part 1,Hand over Clothes design handbook Part 1,Get Clothes design handbook Part 2,Hand over Clothes design handbook Part 2","+18,100 EXP,Ragman Rep +0.07,60,000 Roubles,2x Ghost balaclava",18100
Sew it good - Part 4,Ragman,PickUp,,0,,Sew it good - Part 3,"Charisma brings success,Textile - Part 1","Find in raid 2 Wartech (TV-109, TV-106),Hand over 2 Wartech (TV-109, TV-106),Find in raid 2 BlackRock chest rig,Hand over 2 BlackRock chest rig","+20,700 EXP,Ragman Rep +0.09,25,000 Roubles,ANA Tactical M2 armored rig",20700
Sew it good - Part 3,Ragman,PickUp,,0,,Sew it good - Part 2,"Sew it good - Part 4,Living high is not a crime - Part 1","Get 6B43 with 0-50% condition,Hand over 6B43 with 0-50% condition,Get 6B43 with 50-100% condition,Hand over 6B43 with 50-100% condition","+19,700 EXP,Ragman Rep +0.09,65,000 Roubles",19700
Sew it good - Part 2,Ragman,PickUp,,0,,Sew it good - Part 1,"Sew it good - Part 3,The key to success","Get Gzhel in 0-50% condition,Hand over Gzhel in 0-50% condition,Get Gzhel in 50-100% condition,Hand over Gzhel in 50-100% condition","+18,700 EXP,Ragman Rep +0.09,10,000 Roubles,2x ZSh-1-2M face shield",18700
Sew it good - Part 1,Ragman,PickUp,,25,Must be level 25 to start this quest.,Database - Part 2,"Sew it good - Part 2,The Blood of War - Part 2","Get Ski hat with holes for eyes, 2 pcs,Hand over Ski hat with holes for eyes, 2 pcs,Get Pilgrim tourist backpack, 2 pcs,Hand over Pilgrim tourist backpack, 2 pcs","+12,300 EXP,Ragman Rep +0.06,25,000 Roubles,SSSh-95 Sfera-S (Sphere-S)",12300
Database - Part 2,Ragman,Completion,Interchange,0,,Database - Part 1,"Sew it good - Part 1,Minibus,Gratitude","Get OLI cargo route documents,Hand over OLI cargo route documents","+11,700 EXP,Ragman Rep +0.07,60,000 Roubles",11700
Database - Part 1,Ragman,Exploration,Interchange,0,,Big sale,Database - Part 2,"Get Goshan cargo manifests,Hand over Goshan cargo manifests,Get OLI cargo manifests,Hand over OLI cargo manifests,Get IDEA cargo manifests,Hand over IDEA cargo manifests","+11,500 EXP,Ragman Rep +0.07,22,000 Roubles,MSA Sordin Supreme PRO-X/L active headphones",11500
Dressed to kill,Ragman,Completion,,0,,The Blood of War - Part 1,Gratitude,"Hand over Ushanka ear-flap cap, 7 pcs,Hand over Kinda cowboy hat, 7 pcs","+10,200 EXP,Ragman Rep +0.07,21,000 Roubles,BNTI Gzhel-K armor",10200
The Blood of War - Part 1,Ragman,Completion,Interchange,0,,Big sale,Dressed to kill,"Mark tank 1,Mark tank 2,Mark tank 3,Survive and leave the area","+7,500 EXP,Ragman Rep +0.06,60,000 Roubles",7500
Big sale,Ragman,Exploration,Interchange,0,,Only business,"The Blood of War - Part 1,Database - Part 1","Check AVOKADO,Check KOSTIN,Check tRend,Check DINO CLOTHES,Check TOP BRAND,Survive and leave the area","+8,900 EXP,Ragman Rep +0.07,17,000 Roubles,Camelback Tri-Zip Backpack",8900
Gunsmith - Part 11,Mechanic,Parameter-oriented modding,,20,Must be level 20 to start this quest.,Gunsmith - Part 10,Gunsmith - Part 12,Modify AS VAL to comply with the required specification,"+18,600 EXP,Mechanic Rep +0.06,Key to KIBA Outlet grate door",18600
Gunsmith - Part 10,Mechanic,Parameter-oriented modding,,20,Must be level 20 to start this quest.,Gunsmith - Part 9,Gunsmith - Part 11,Modify AK-105 to comply with the required specification,"+17,500 EXP,Mechanic Rep +0.06,2x Ammo case,Unlocks purchase of Colt M4A1 5.56x45 Assault Rifle ""SOPMOD I"" variant at LL3",17500
Gunsmith - Part 9,Mechanic,Parameter-oriented modding,,20,Must be level 20 to start this quest.,Gunsmith - Part 8,Gunsmith - Part 10,Modify AKS-74N to comply with the required specification,"+17,300 EXP,Mechanic Rep +0.06,500 Euros,Colt M4A1 5.56x45 Assault Rifle",17300
Gunsmith - Part 8,Mechanic,Parameter-oriented modding,,19,Must be level 19 to start this quest.,Gunsmith - Part 7,Gunsmith - Part 9,Modify AKM to comply with the required specification,"+16,200 EXP,Mechanic Rep +0.06,1,500 Euros,2x Physical bitcoin",16200
Only business,Ragman,Merchant,,15,Must be level 15 to start this quest.,,"Make ULTRA Great Again,Big sale",Obtain level 2 loyalty with Ragman,"+6,700 EXP,Ragman Rep +0.06,10,000 Roubles,Wartech gear rig (TV-109, TV-106)",6700
Make ULTRA Great Again,Ragman,Completion,Interchange,0,,Only business,,Kill 25 Scavs at the Interchange.,"+9,800 EXP,Ragman Rep +0.09,50,000 Roubles",9800
Gunsmith - Part 7,Mechanic,Parameter-oriented modding,,19,Must be level 19 to start this quest.,Gunsmith - Part 6,Gunsmith - Part 8,Modify Remington Model 870 to comply with the required specification,"+16,000 EXP,Mechanic Rep +0.06,100,000 Roubles,GLOCK 17 9x19 pistol",16000
Insider,Mechanic,Standing,,12,Must be level 12 to start this quest.,Signal - Part 1,,Reach level 3 loyalty with Prapor,"+9,300 EXP,Mechanic Rep +0.04,800 Euros,2x SilencerCo Osprey 9 9x19mm sound suppressor",9300
Scout,Mechanic,Completion,Factory,12,Must be level 12 to start this quest.,Signal - Part 2,,"Find a way out of the factory 1,Find a way out of the factory 2,Find a way out of the factory 3,Survive and exit the location","+9,200 EXP,Mechanic Rep +0.04,30,000 Roubles,2x Physical bitcoin",9200
Bad habit,Mechanic,PickUp,,12,Must be level 12 to start this quest.,Farming - Part 2,,"Find in raid Malboro cigarettes, 7 pcs,Hand over Malboro cigarettes, 7 pcs,Find in raid Strike cigarettes, 7 pcs,Hand over Strike cigarettes, 7 pcs,Find in raid Wilston cigarettes, 7 pcs,Hand over Wilston cigarettes, 7 pcs","+9,000 EXP,Mechanic Rep +0.04,300 Euros,Stechkin Automatic Pistol 9x18PM",9000
Signal - Part 4,Mechanic,Skill,,15,Must be level 15 to start this quest.,Signal - Part 3,,Increase memory skill level to 4,"+11,100 EXP,Mechanic Rep +0.04,20,000 Roubles,Nightforce ATACR 7-35x56 riflescope",11100
Signal - Part 3,Mechanic,Completion,Shoreline,15,Must be level 15 to start this quest.,Signal - Part 2,Signal - Part 4,"Place first jammer,Place second jammer,Place third jammer,Survive and leave the area","+11,000 EXP,Mechanic Rep +0.04,30,000 Roubles,Remington Model 870 12ga shotgun",11000
Signal - Part 2,Mechanic,PickUp,,12,Must be level 12 to start this quest.,Signal - Part 1,"Signal - Part 3,Scout","Find in raid 3 PC CPU,Find in raid 3 Rechargeable battery,Find in raid 3 Printed circuit board,Find in raid 3 Broken GPhone,Hand over PC CPU, 3 pcs,Hand over Rechargeable battery, 3 pcs,Hand over Printed circuit board, 3 pcs,Hand over Broken GPhone, 3 pcs","+8,700 EXP,Mechanic Rep +0.04,50,000 Roubles",8700
Signal - Part 1,Mechanic,Discover,Shoreline,12,Must be level 12 to start this quest.,Gunsmith - Part 2,"Signal - Part 2,Insider","Find the first signal source,Find the second signal source,Survive and leave the area","+8,500 EXP,Mechanic Rep +0.04,10,000 Roubles,3x SGMT Drum mag for Glock 9x19, 50 rounds capacity",8500
Farming - Part 4,Mechanic,PickUp,,14,Must be level 14 to start this quest.,Farming - Part 3,"Fertilizers,Import,A Shooter Born in Heaven","Get Graphics card, 7 pcs,Hand over Graphics card, 7 pcs,Get CPU Fan, 7 pcs,Hand over CPU Fan, 7 pcs","+9,800 EXP,Mechanic Rep +0.04,300 Euros,GLOCK  17 9x19 pistol",9800
Farming - Part 3,Mechanic,Completion,Customs,14,Must be level 14 to start this quest.,Farming - Part 2,Farming - Part 4,"Find a warehouse of confiscate,Get package with graphics cards,Hand over package with graphics cards","+8,100 EXP,Mechanic Rep +0.03,20,000 Roubles,Physical bitcoin",8100
Farming - Part 2,Mechanic,PickUp,,12,Must be level 12 to start this quest.,Farming - Part 1,"Farming - Part 3,Bad habit","Get Powercord, 3 pcs,Hand over Powercord, 3 pcs,Get T-Shaped Plug, 5 pcs,Hand over T-Shaped Plug, 5 pcs,Get Printed circuit board, 3 pcs,Hand over Printed circuit board, 3 pcs","+6,800 EXP,Mechanic Rep +0.03,15,000 Roubles,AKMSN 7.62x39 assault rifle",6800
Farming - Part 1,Mechanic,Completion,Factory,12,Must be level 12 to start this quest.,Gunsmith - Part 1,Farming - Part 2,"Fix the first control board,Fix the second control board,Survive and leave the area","+8,000 EXP,Mechanic Rep +0.04,25,000 Roubles",8000
Gunsmith - Part 6,Mechanic,Parameter-oriented modding,,18,Must be level 18 to start this quest.,Gunsmith - Part 5,Gunsmith - Part 7,Modify R11 RSASS to comply with the required specification,"+14,900 EXP,Mechanic Rep +0.06,1,000 Euros,3x Physical bitcoin",14900
Gunsmith - Part 5,Mechanic,Parameter-oriented modding,,17,Must be level 17 to start this quest.,Gunsmith - Part 4,"Gunsmith - Part 6,""The Tarkov shooter"" - Part 1",Modify DVL-10 to comply with the required specification,"+13,900 EXP,Mechanic Rep +0.06,200,000 Roubles",13900
Gunsmith - Part 4,Mechanic,Parameter-oriented modding,,15,Must be level 15 to start this quest.,Gunsmith - Part 3,Gunsmith - Part 5,Modify M4A1 to comply with the required specification,"+10,100 EXP,Mechanic Rep +0.05,800 Euros,Physical bitcoin",10100
Gunsmith - Part 3,Mechanic,Parameter-oriented modding,,12,Must be level 12 to start this quest.,Gunsmith - Part 2,Gunsmith - Part 4,Modify MP5 to comply with the required specification,"+8,000 EXP,Mechanic Rep +0.05,500 Euros,Submachinegun 19-01 Vityaz-SN 9x19",8000
Gunsmith - Part 2,Mechanic,Parameter-oriented modding,,11,Must be level 11 to start this quest.,Gunsmith - Part 1,"Gunsmith - Part 3,Signal - Part 1",Modify AKS-74U to comply with the required specification,"+6,000 EXP,Mechanic Rep +0.04,60,000 Roubles",6000
Gunsmith - Part 1,Mechanic,Parameter-oriented modding,,10,Must be level 10 to start this quest.,,"Gunsmith - Part 2,Introduction,Farming - Part 1",Modify MP-133 to comply with the required specifications.,"+6,500 EXP,Mechanic Rep +0.04,20,000 Roubles,GLOCK 17 9x19 pistol,50x 9x19 mm Pst gzh",6500
Health Care Privacy - Part 2,Therapist,Discover,Shoreline,0,,Health Care Privacy - Part 1,Health Care Privacy - Part 3,"Gather info on the fate of the Terragroup research,Hand over info on the fate of the Terragroup research,Survive and exit the location","+8,600 EXP,Therapist Rep +0.09,24,000 Roubles,4x Salewa FIRST AID KIT",8600
Health Care Privacy - Part 3,Therapist,Discover,Woods,0,,Health Care Privacy - Part 2,"Health Care Privacy - Part 4,An apple a day - keeps the doctor away","Find the car that belonged to the head of the Medical Service,Pick up the blood sample,Hand over the blood sample,Survive and exit the location","+9,400 EXP,Therapist Rep +0.09,26,000 Roubles,2x Morphine injector,Unlocks purchase of Morphine injector at LL4",9400
Health Care Privacy - Part 4,Therapist,Skill,,0,,Health Care Privacy - Part 3,"Health Care Privacy - Part 5,Private clinic,Athlete",Increase Health skill level to 4,"+10,200 EXP,Therapist Rep +0.09,29,000 Roubles,2x Grizzly First Aid Kit",10200
Health Care Privacy - Part 1,Therapist,Discover,Shoreline,0,,Pharmacist,Health Care Privacy - Part 2,"Mark 1st ambulance,Mark 2nd ambulance,Mark 3rd ambulance,Survive and exit the location","+6,500 EXP,Therapist Rep +0.07,22,000 Roubles,2x IFAK personal tactical first aid kit,Unlocks purchase of IFAK personal tactical first aid kit at LL3",6500
Wet Job - Part 5,Peacekeeper,PickUp,Shoreline,14,Must be level 14 to start this quest.,Wet Job - Part 4,Wet Job - Part 6,"Find info on Artyom's work,Hand over the info to Peacekeeper","+10,200 EXP,Peacekeeper Rep +0.06,1,600 Dollars,Unlocks purchase of Remington R11 RSASS 7.62x51 at LL4",10200
Wet Job - Part 4,Peacekeeper,PickUp,Shoreline,14,Must be level 14 to start this quest.,Wet Job - Part 3,"Wet Job - Part 5,Mentor","Find a list of resort tenants,Hand over the list of tenants to Peacekeeper","+10,000 EXP,Peacekeeper Rep +0.06,1,600 Dollars",10000
Wet Job - Part 3,Peacekeeper,Exploration,Shoreline,14,Must be level 14 to start this quest.,Wet Job - Part 2,Wet Job - Part 4,"Find Artyom's car,Survive and leave the area","+9,900 EXP,Peacekeeper Rep +0.06,1,500 Dollars",9900
Wet Job - Part 2,Peacekeeper,Exploration,Shoreline,14,Must be level 14 to start this quest.,Wet Job - Part 1,Wet Job - Part 3,"Find the fisher's dwelling,Set the beacon,Survive and leave the area","+11,700 EXP,Peacekeeper Rep +0.07,1,300 Dollars,Unlocks barter for Magpul PMAG D-60 5.56x45 60-round magazine at LL3",11700
Cargo X - Part 3,Peacekeeper,Multi,Shoreline,12,Must be level 12 to start this quest.,Cargo X - Part 2,,"Find hidden Terragroup cargo,Survive and leave the area","+10,700 EXP,Peacekeeper Rep +0.07,900 Dollars,HK MP5 9x19 submachinegun (Navy 3 Round Burst),3x Standard MP5 30-round 9x19 magazine",10700
Cargo X - Part 2,Peacekeeper,Exploration,Shoreline,12,Must be level 12 to start this quest.,Cargo X - Part 1,Cargo X - Part 3,"Find a room with reservoirs,Find any information on the second part of the shipment,Give the info on the second part of the cargo to Peacekeeper","+8,600 EXP,Peacekeeper Rep +0.07,850 Dollars,Unlocks purchase of KAC QDSS NT-4 5.56x45 silencer (Black) at LL3",8600
Wet Job - Part 1,Peacekeeper,Elimination,Shoreline,14,Must be level 14 to start this quest.,Spa Tour - Part 7,Wet Job - Part 2,"The Thunder Beast Ultra 5 Sound Suppressor does NOT count as a silencer for this quest.,The Daniel Defense Wave QD Sound Suppressor does NOT count as a silencer for this quest.",Kill 10 Scavs at the Shoreline using a suppressed M4 or ADAR.,0
Spa Tour - Part 7,Peacekeeper,PickUp,,12,Must be level 12 to start this quest.,Spa Tour - Part 6,"Wet Job - Part 1,Cargo X - Part 1","Find in raid  Morphine injector, 4 pcs,Hand over Morphine injector, 4 pcs,Find in raid  Heat-exchange alkali surface washer, 2 pcs,Hand over Heat-exchange alkali surface washer, 2 pcs,Find in raid  Corrugated hose, 2 pcs,Hand over Corrugated hose, 2 pcs,Find in raid  5L propane tank, 2 pcs,Hand over 5L propane tank, 2 pcs","+11,600 EXP,Peacekeeper Rep +0.09,Jaeger Rep -0.01,Factory exit key",11600
The Cult - Part 2,Peacekeeper,Exploration,"Shoreline,Customs,Woods",12,Must be level 12 to start this quest.,The Cult - Part 1,,"Put the beacon on the ritual spot at the Customs,Put the beacon on the ritual spot in the Woods,Put the beacon on the ritual spot in the Shoreline","+8,200 EXP,Peacekeeper Rep +0.07,850 Dollars,3x Gas analyzer,3x Geiger-Muller counter",8200
Spa Tour - Part 6,Peacekeeper,Loyalty,,12,Must be level 12 to start this quest.,Spa Tour - Part 5,Spa Tour - Part 7,"Hand over $8,000","+11,400 EXP,Peacekeeper Rep +0.09,Unlocks purchase of 7.62x51 mm M62 at LL3",11400
Cargo X - Part 1,Peacekeeper,PickUp,Shoreline,12,Must be level 12 to start this quest.,Spa Tour - Part 7,Cargo X - Part 2,"Find the cargo record in the computer room,Hand over the retrieved data to Peacekeeper","+10,400 EXP,Peacekeeper Rep +0.07,700 Dollars,Pistol case",10400
Spa Tour - Part 5,Peacekeeper,PickUp,Shoreline,12,Must be level 12 to start this quest.,Spa Tour - Part 4,Spa Tour - Part 6,"Find the key from the locked resort rooms,Hand over key from the locked resort rooms","+7,800 EXP,Peacekeeper Rep +0.06,980 Dollars,4x IFAK personal tactical first aid kit",7800
Spa Tour - Part 4,Peacekeeper,Discover,Shoreline,12,Must be level 12 to start this quest.,Spa Tour - Part 3,Spa Tour - Part 5,"Find generators in right wing,Find generators in left wing,Survive and leave the area","+9,300 EXP,Peacekeeper Rep +0.07,1,100 Dollars",9300
Spa Tour - Part 3,Peacekeeper,PickUp,,12,Must be level 12 to start this quest.,Spa Tour - Part 2,Spa Tour - Part 4,"Find in raid WD-40 100ml,Hand over WD-40 100ml,Find in raid Clin wipers, 2 pcs,Hand over Clin wipers, 2 pcs,Find in raid Corrugated hoses, 2 pcs,Hand over Corrugated hoses, 2 pcs,Find in raid Ox bleach, 2 pcs,Hand over Ox bleach, 2 pcs","+9,100 EXP,Peacekeeper Rep +0.07,800 Dollars,2x HK MP5 9x19 submachinegun (Navy 3 Round Burst),5x M67 Hand grenade",9100
Spa Tour - Part 2,Peacekeeper,Exploration,Shoreline,12,Must be level 12 to start this quest.,Spa Tour - Part 1,Spa Tour - Part 3,"Mark the helicopter with a beacon,Mark a safe road with a beacon,Survive and leave the area","+7,500 EXP,Peacekeeper Rep +0.06,900 Dollars,Unlocks purchase of M67 Hand grenade at LL2",7500
Spa Tour - Part 1,Peacekeeper,Elimination,Shoreline,12,Must be level 12 to start this quest.,Humanitarian Supplies,Spa Tour - Part 2,Kill 7 Scavs at the Shoreline with 12 gauge shotgun headshots,"+8,900 EXP,Peacekeeper Rep +0.07,950 Dollars,SIG MPX 9x19 Submachine gun",8900
The Cult - Part 1,Peacekeeper,Exploration,Shoreline,12,Must be level 12 to start this quest.,Humanitarian Supplies,The Cult - Part 2,"Find the missing informant,Survive and leave the area","+6,700 EXP,Peacekeeper Rep +0.06,700 Dollars,3x Golden neck chain,Unlocks purchase of 5.56x45 mm M856A1 at LL2",6700
Humanitarian Supplies,Peacekeeper,Discover,Shoreline,11,Must be level 11 to start this quest.,Eagle Eye,"The Cult - Part 1,Spa Tour - Part 1","Mark first truck with lost UN cargo,(Optional) Find first truck with lost UN cargo,Mark second truck with lost UN cargo,(Optional) Find second truck with lost UN cargo,Find 5 MRE ration packs,Deliver 5 MRE ration packs to Peacekeeper,Kill 10 Scavs at the Shoreline. You must be wearing UN uniform (MF-UNTAR armor vest and UNTAR helmet),Survive and leave the area","+7,400 EXP,Peacekeeper Rep +0.07,800 Dollars,Unlocks purchase of Hexagon AK-74 5.45x39 sound suppressor at Skier LL2",7400
Eagle Eye,Peacekeeper,PickUp,Shoreline,11,Must be level 11 to start this quest.,Scrap Metal,Humanitarian Supplies,"Find the first UAV crash site,Find SAS disk from the first crashed drone,Hand over SAS disk from the first crashed drone,Find the second UAV crash site,Find SAS disk from the second crashed drone,Hand over SAS disk from the second crashed drone","+7,300 EXP,Peacekeeper Rep +0.07,900 Dollars,Leupold Mark 4 HAMR 4x24mm DeltaPoint hybrid assault scope,ELCAN SpecterDR 1x/4x Scope FDE",7300
Scrap Metal,Peacekeeper,Discover,Shoreline,10,Must be level 10 to start this quest.,Tigr Safari,Eagle Eye,"Mark first tank T-90 at Shoreline,Mark second tank T-90 at Shoreline,Mark third tank T-90 at Shoreline,Survive and leave the area","+7,200 EXP,Peacekeeper Rep +0.07,Jaeger Rep -0.01,850 Dollars,2x AKM 7.62x39 assault rifle,200x 7.62x39 mm PS,Unlocks purchase of HK MP5 9x19 submachinegun (Navy 3 Round Burst) ""SD"" variant at LL2",7200
Tigr Safari,Peacekeeper,Discover,Customs,10,Must be level 10 to start this quest.,Fishing Gear,Scrap Metal,"Mark first Tigr vehicle at Customs,Mark second Tigr vehicle at Customs,Mark third Tigr vehicle at Customs,Survive and leave the area","+6,600 EXP,Peacekeeper Rep +0.07,Jaeger Rep -0.01,900 Dollars,ANA Tactical Alpha chest rig,2x 60-round MAG5-60 5.56x45 STANAG magazine",6600
Fishing Gear,Peacekeeper,Completion,Shoreline,10,"Must complete Friend from the West - Part 2 to start this quest.,Must be level 10 to start this quest.",Friend from the West - Part 2,Tigr Safari,"Find the secret spot,Leave sniper rifle in place,Leave multitool in place,Survive and leave the area","+5,400 EXP,Peacekeeper Rep +0.06,800 Dollars,Kiver-M Helmet,Unlocks purchase of Aimpoint Micro T-1 reflex sight at LL1",5400
Friend from the West - Part 1,Skier,Elimination,,9,Must be level 9 to start this quest.,Golden swag,Friend from the West - Part 2,"Kill 5 USECs,Find 2 Flyye MBSS Backpacks,Hand over 2 Flyye MBSS Backpacks,Find 1 AVS vest,Hand over 1 AVS vest","+10,800 EXP,Skier Rep +0.14,700 Dollars,Colt M4A1 5.56x45 Assault Rifle",10800
Friend from the West - Part 2,Skier,Merchant,,9,Must be level 9 to start this quest.,Friend from the West - Part 1,"Lend lease - Part 1,Informed means armed,Fishing Gear","Hand over $6,000","+9,200 EXP,Skier Rep +0.12",9200
Wet Job - Part 6,Peacekeeper,Skill,,14,Must be level 14 to start this quest.,Wet Job - Part 5,"Psycho Sniper,The guide",Reach level 7 in Sniper rifle handling skill,"+10,400 EXP,Peacekeeper Rep +0.06,Jaeger Rep -0.01,3,500 Dollars,DVL-10 Saboteur sniper rifle,Unlocks purchase of 7.62x51 mm M61 at LL4",10400
Loyalty buyout,Skier,Loyalty,,0,,"Out of curiosity,Big customer",,Give 1 million roubles to Skier,Skier Rep +0.3,0
Trust regain,Therapist,PickUp,,0,,"Chemical - Part 4,Big customer",,"Find 303 dorm room key,Find ZB-014 key,Find the customs military checkpoint key,Find gas station closet key,Hand over 303 key,Hand over ZB-014 key,Hand over the checkpoint key,Hand over closet key",Therapist Rep +0.3,0
No offence,Prapor,PickUp,,0,,"Chemical - Part 4,Out of curiosity",,"Find 10 M67 grenades,Handover grenades to Prapor",Prapor Rep +0.4,0
Chemical - Part 4,Skier,PickUp,Customs,11,Must be level 11 to start this quest.,Chemical - Part 3,,"Find a transport with chemicals,Mark the chemical transport with a beacon,Survive and extract Customs","+6,600 EXP,Skier Rep +0.1,Jaeger Rep -0.01,75,000 Roubles,Unlocks purchase of ZSh-1-2M helmet (black) at Ragman LL3",6600
Chemical - Part 3,Skier,PickUp,Factory,11,Must be level 11 to start this quest.,Chemical - Part 2,"""Vitamins"" - Part 1","Find a Syringe with a chemical in the Factory,Hand over the syringe to Skier","+5,400 EXP,Skier Rep +0.08,Jaeger Rep -0.01,17,000 Roubles,2x Zenit-Belomo PSO 1M2-1 4x24 scope",5400
Out of curiosity,Therapist,PickUp,Customs,0,,Chemical - Part 3,,"Find a transport with chemicals,Mark the chemical transport with a beacon,Survive and extract Customs","+8,300 EXP,Therapist Rep +0.3,170,000 Roubles",8300
